cpv_code,table_class,position,index_type,classification,ateco_code,index_description
90512000-9,D3,11,PPS,ATECO,494,Trasporto di merci su strada e servizi di trasloco
90512000-9,D3,21,IR,ATECO,38,"Attività di raccolta, trattamento e smaltimento dei rifiuti recupero dei materiali"
90513000-6,D3,1,PC,ECOICOP,00ST,indice generale senza tabacchi
90513000-6,D3,11,IR,ATECO,38,"Attività di raccolta, trattamento e smaltimento dei rifiuti recupero dei materiali"
90514000-3,D3,1,PC,ECOICOP,00ST,indice generale senza tabacchi
90514000-3,D3,11,IR,ATECO,38,"Attività di raccolta, trattamento e smaltimento dei rifiuti recupero dei materiali"
90520000-8,D3,1,PC,ECOICOP,00ST,indice generale senza tabacchi
90520000-8,D3,11,PPS,ATECO,494,Trasporto di merci su strada e servizi di trasloco
90520000-8,D3,21,IR,ATECO,38,"Attività di raccolta, trattamento e smaltimento dei rifiuti recupero dei materiali"
90523300-2,D3,1,PPS,ATECO,773,"Noleggio di altre macchine, attrezzature e beni materiali"
90523300-2,D3,11,IR,ATECO,390,Attività di risanamento e altri servizi di gestione dei rifiuti
90523300-2,D3,21,PC,ECOICOP,00ST,indice generale senza tabacchi
90530000-1,D3,1,PC,ECOICOP,00ST,indice generale senza tabacchi
90530000-1,D3,11,IR,ATECO,38,"Attività di raccolta, trattamento e smaltimento dei rifiuti recupero dei materiali"
90610000-6,D3,1,PC,ECOICOP,00ST,indice generale senza tabacchi
90610000-6,D3,11,PPS,ATECO,81,Attività di servizi per edifici e paesaggio
90610000-6,D3,12,PPS,ATECO,494,Trasporto di merci su strada e servizi di trasloco
90610000-6,D3,21,IR,ATECO,81,Attività di servizi per edifici e paesaggio
90620000-9,D3,1,PC,ECOICOP,00ST,indice generale senza tabacchi
90620000-9,D3,11,PPS,ATECO,81,Attività di servizi per edifici e paesaggio
90620000-9,D3,12,PPS,ATECO,494,Trasporto di merci su strada e servizi di trasloco
90620000-9,D3,21,IR,ATECO,81,Attività di servizi per edifici e paesaggio
90630000-2,D3,1,PC,ECOICOP,00ST,indice generale senza tabacchi
